Latticeparameter(angstrom)forAu,Potentialenergy(eV)forAu,Latticeparameterlinspace(angstrom)forAu,Fittedenergy(eV)curveforAu,Latticeparameter(angstrom)forminE_potforAu,MinimumE_pot(eV)forAu,Latticeparameter(angstrom)forPt,Potentialenergy(eV)forPt,Latticeparameterlinspace(angstrom)forPt,Fittedenergy(eV)curveforPt,Latticeparameter(angstrom)forminE_potforPt,MinimumE_pot(eV)forPt,Latticeparameter(angstrom)forRh,Potentialenergy(eV)forRh,Latticeparameterlinspace(angstrom)forRh,Fittedenergy(eV)curveforRh,Latticeparameter(angstrom)forminE_potforRh,MinimumE_pot(eV)forRh
,,4.1166,-3.130475377898165,,,,,3.9206,-6.417634689434834,,,,,3.7916,-7.291295931895718,,
,,4.1167,-3.1305273510945,,,,,3.9207,-6.417702330249682,,,,,3.7917,-7.291361791410168,,
,,4.1168,-3.130579238187039,,,,,3.9208,-6.417769832940522,,,,,3.7918,-7.291427513718915,,
,,4.1169,-3.130631039175768,,,,,3.9209,-6.417837197507367,,,,,3.7919,-7.291493098821945,,
,,4.117,-3.1306827540607003,,,,,3.921,-6.417904423950219,,,,,3.792,-7.291558546719258,,
,,4.1171,-3.130734382841837,,,,,3.921100000000001,-6.417971512269077,,,,,3.792100000000001,-7.291623857410855,,
,,4.1172,-3.130785925519177,,,,,3.9212,-6.418038462463926,,,,,3.7922,-7.291689030896734,,
,,4.1173,-3.1308373820927216,,,,,3.921300000000001,-6.418105274534796,,,,,3.7923,-7.291754067176896,,
,,4.1174,-3.130888752562456,,,,,3.9214,-6.418171948481657,,,,,3.7924,-7.291818966251341,,
,,4.1175,-3.130940036928393,,,,,3.9215,-6.41823848430451,,,,,3.7925,-7.291883728120069,,
,,4.1176,-3.130991235190521,,,,,3.9216,-6.418304882003383,,,,,3.7926,-7.291948352783081,,
,,4.1177,-3.131042347348867,,,,,3.9217,-6.418371141578263,,,,,3.7927,-7.292012840240375,,
,,4.1178,-3.1310933734034023,,,,,3.9218,-6.4184372630291335,,,,,3.7928,-7.292077190491952,,
,,4.1179,-3.1311443133541417,,,,,3.9219,-6.4185032463560105,,,,,3.7929,-7.292141403537812,,
,,4.118,-3.131195167201085,,,,,3.922,-6.4185690915588935,,,,,3.793,-7.292205479377969,,
,,4.1181,-3.131245934944232,,,,,3.9221,-6.418634798637768,,,,,3.7931,-7.2922694180123955,,
,,4.1182,-3.131296616583569,,,,,3.9222,-6.418700367592649,,,,,3.7932,-7.292333219441105,,
,,4.1183,-3.131347212119124,,,,,3.9223,-6.41876579842355,,,,,3.7933,-7.292396883664097,,
,,4.1184,-3.1313977215508686,,,,,3.9224,-6.4188310911304285,,,,,3.7934,-7.292460410681386,,
,,4.1185,-3.131448144878803,,,,,3.9225,-6.418896245713327,,,,,3.7935,-7.292523800492944,,
,,4.1186,-3.1314984821029554,,,,,3.9226,-6.418961262172232,,,,,3.7936,-7.292587053098785,,
,,4.1187,-3.1315487332232834,,,,,3.9227,-6.419026140507128,,,,,3.7937,-7.292650168498909,,
,,4.1188,-3.131598898239844,,,,,3.9228,-6.419090880718031,,,,,3.7938,-7.29271314669333,,
,,4.1189,-3.1316489771525795,,,,,3.9229,-6.419155482804939,,,,,3.7939,-7.29277598768202,,
,,4.119,-3.1316989699615334,,,,,3.923,-6.419219946767839,,,,,3.794,-7.292838691465008,,
,,4.1191,-3.131748876666691,,,,,3.9231,-6.41928427260676,,,,,3.7941,-7.292901258042278,,
,,4.1192,-3.1317986972680387,,,,,3.9232,-6.419348460321672,,,,,3.7942,-7.292963687413803,,
,,4.1193,-3.13184843176559,,,,,3.9233,-6.41941250991259,,,,,3.7943,-7.293025979579653,,
,,4.1194,-3.131898080159345,,,,,3.9234,-6.419476421379514,,,,,3.7944,-7.293088134539758,,
,,4.1195,-3.1319476424492905,,,,,3.9235,-6.41954019472243,,,,,3.7945,-7.29315015229416,,
,,4.1196,-3.1319971186354536,,,,,3.9236,-6.419603829941352,,,,,3.7946,-7.293212032842831,,
,,4.1197,-3.1320465087178064,,,,,3.9237,-6.419667327036294,,,,,3.7947,-7.293273776185799,,
,,4.1198,-3.132095812696363,,,,,3.9238,-6.419730686007213,,,,,3.7948,-7.293335382323036,,
,,4.1199,-3.1321450305710954,,,,,3.9239,-6.419793906854153,,,,,3.7949,-7.29339685125457,,
,,4.12,-3.13219416234206,,,,,3.924,-6.419856989577099,,,,,3.795,-7.293458182980373,,
,,4.1201,-3.132243208009214,,,,,3.9241,-6.419919934176036,,,,,3.7951,-7.293519377500473,,
,,4.1202,-3.1322921675725723,,,,,3.9242,-6.41998274065098,,,,,3.7952,-7.293580434814856,,
,,4.1203,-3.1323410410321344,,,,,3.9243,-6.420045409001929,,,,,3.7953,-7.293641354923508,,
,,4.1204,-3.132389828387886,,,,,3.9244,-6.420107939228871,,,,,3.7954,-7.2937021378264575,,
,,4.1205,-3.132438529639842,,,,,3.9245,-6.420170331331832,,,,,3.7955,-7.29376278352369,,
,,4.1206,-3.132487144788016,,,,,3.9246,-6.420232585310785,,,,,3.7956,-7.293823292015205,,
,,4.1207,-3.132535673832365,,,,,3.9247,-6.420294701165744,,,,,3.7957,-7.2938836633009885,,
,,4.1208,-3.132584116772932,,,,,3.9248,-6.4203566788967095,,,,,3.7958,-7.293943897381069,,
,,4.1209,-3.1326324736096893,,,,,3.9249,-6.420418518503666,,,,,3.7959,-7.2940039942554336,,
,,4.121,-3.1326807443426503,,,,,3.925,-6.420480219986629,,,,,3.796,-7.294063953924081,,
,,4.1211,-3.132728928971815,,,,,3.9251,-6.420541783345612,,,,,3.7961,-7.294123776387011,,
,,4.1212,-3.13277702749717,,,,,3.9252,-6.420603208580573,,,,,3.7962,-7.294183461644224,,
,,4.1213,-3.1328250399187425,,,,,3.9253,-6.420664495691554,,,,,3.7963,-7.29424300969572,,
,,4.1214,-3.132872966236505,,,,,3.9254,-6.420725644678541,,,,,3.7964,-7.294302420541484,,
,,4.1215,-3.132920806450471,,,,,3.9255,-6.420786655541519,,,,,3.7965,-7.294361694181546,,
,,4.1216,-3.132968560560641,,,,,3.9256,-6.420847528280504,,,,,3.7966,-7.294420830615891,,
,,4.1217,-3.133016228567016,,,,,3.9257,-6.420908262895495,,,,,3.7967,-7.294479829844519,,
,,4.1218,-3.1330638104695794,,,,,3.9258,-6.420968859386477,,,,,3.7968,-7.29453869186743,,
,,4.1219,-3.133111306268347,,,,,3.9259,-6.421029317753479,,,,,3.7969,-7.294597416684624,,
,,4.122,-3.1331587159633187,,,,,3.926,-6.421089637996474,,,,,3.797,-7.294656004296101,,
,,4.1221,-3.1332060395544943,,,,,3.9261,-6.421149820115474,,,,,3.7971,-7.294714454701861,,
,,4.1222,-3.1332532770418453,,,,,3.9262,-6.421209864110466,,,,,3.7972,-7.294772767901918,,
,,4.1223,-3.1333004284254287,,,,,3.9263,-6.421269769981478,,,,,3.7973,-7.294830943896244,,
,,4.1224,-3.1333474937052017,,,,,3.9264,-6.421329537728482,,,,,3.7974,-7.294888982684853,,
,,4.1225,-3.1333944728811645,,,,,3.9265,-6.421389167351492,,,,,3.7975,-7.294946884267759,,
,,4.1226,-3.1334413659533453,,,,,3.9266,-6.421448658850508,,,,,3.7976,-7.29500464864492,,
,,4.1227,-3.133488172921716,,,,,3.9267,-6.42150801222553,,,,,3.7977,-7.295062275816392,,
,,4.1228,-3.1335348937862904,,,,,3.9268,-6.421567227476544,,,,,3.7978,-7.295119765782147,,
,,4.1229,-3.1335815285470687,,,,,3.9269,-6.421626304603564,,,,,3.7979,-7.29517711854217,,
,,4.123,-3.133628077204051,,,,,3.927,-6.421685243606589,,,,,3.798,-7.295234334096477,,
,,4.1231,-3.133674539757223,,,,,3.9271,-6.421744044485621,,,,,3.7981,-7.295291412445081,,
,,4.1232,-3.133720916206613,,,,,3.9272,-6.4218027072406585,,,,,3.7982,-7.295348353587954,,
,,4.1233,-3.1337672065521787,,,,,3.9273,-6.421861231871688,,,,,3.7983,-7.29540515752511,,
,,4.1234,-3.133813410793948,,,,,3.9274,-6.421919618378723,,,,,3.7984,-7.295461824256563,,
,,4.1235,-3.133859528931936,,,,,3.9275,-6.421977866761765,,,,,3.7985,-7.295518353782285,,
,,4.1236,-3.133905560966113,,,,,3.9276,-6.422035977020812,,,,,3.7986,-7.295574746102304,,
,,4.1237,-3.1339515068964943,,,,,3.9277,-6.422093949155851,,,,,3.7987,-7.295631001216591,,
,,4.1238,-3.1339973667230794,,,,,3.9278,-6.42215178316691,,,,,3.7988,-7.295687119125162,,
,,4.1239,-3.1340431404458684,,,,,3.9279,-6.4222094790539614,,,,,3.7989,-7.29574309982803,,
,,4.124,-3.134088828064847,,,,,3.928,-6.4222670368170185,,,,,3.799,-7.295798943325167,,
,,4.124099999999999,-3.134134429580044,,,,,3.9281,-6.422324456456067,,,,,3.7991,-7.295854649616601,,
,,4.1242,-3.1341799449914305,,,,,3.9282,-6.422381737971136,,,,,3.7992,-7.295910218702318,,
,,4.1243,-3.1342253742990067,,,,,3.9283,-6.422438881362197,,,,,3.7993,-7.295965650582303,,
,,4.1244,-3.134270717502801,,,,,3.9284,-6.422495886629264,,,,,3.7994,-7.296020945256586,,
,,4.124499999999999,-3.134315974602771,,,,,3.9285,-6.422552753772337,,,,,3.7995,-7.296076102725138,,
,,4.1246,-3.134361145598959,,,,,3.9286,-6.422609482791401,,,,,3.7996,-7.296131122987987,,
,,4.1247,-3.1344062304913507,,,,,3.9287,-6.422666073686472,,,,,3.7997,-7.296186006045119,,
,,4.1248,-3.1344512292799465,,,,,3.9288,-6.422722526457562,,,,,3.7998,-7.296240751896519,,
,,4.1249,-3.134496141964732,,,,,3.9289,-6.422778841104645,,,,,3.7999,-7.296295360542217,,
,,4.125,-3.1345409685457213,,,,,3.929,-6.422835017627719,,,,,3.8,-7.296349831982198,,
,,4.1251,-3.1345857090229146,,,,,3.9291,-6.422891056026813,,,,,3.8001,-7.296404166216462,,
,,4.1252,-3.134630363396312,,,,,3.9292,-6.4229469563019,,,,,3.8002,-7.296458363244994,,
,,4.1253,-3.1346749316658986,,,,,3.9293,-6.423002718452992,,,,,3.8003,-7.296512423067824,,
,,4.1254,-3.134719413831704,,,,,3.9294,-6.42305834248009,,,,,3.8004,-7.296566345684937,,
,,4.1255,-3.1347638098936983,,,,,3.9295,-6.42311382838318,,,,,3.8005,-7.296620131096333,,
,,4.1256,-3.1348081198518685,,,,,3.9296,-6.42316917616229,,,,,3.8006,-7.2966737793020116,,
,,4.1257,-3.134852343706271,,,,,3.9297,-6.423224385817392,,,,,3.8007,-7.296727290301973,,
,,4.1258,-3.134896481456863,,,,,3.9298,-6.4232794573485,,,,,3.8008,-7.296780664096218,,
,,4.1259,-3.1349405331036597,,,,,3.9299,-6.423334390755613,,,,,3.8009,-7.296833900684746,,
,,4.126,-3.1349844986466597,,,,,3.93,-6.423389186038719,,,,,3.801,-7.296887000067542,,
,,4.1261,-3.135028378085863,,,,,3.9301,-6.423443843197845,,,,,3.8011,-7.296939962244636,,
,,4.1262,-3.135072171421271,,,,,3.9302,-6.423498362232962,,,,,3.8012,-7.296992787216013,,
,,4.1263,-3.135115878652869,,,,,3.9303,-6.423552743144086,,,,,3.8013,-7.297045474981687,,
,,4.126399999999999,-3.13515949978067,,,,,3.9304,-6.423606985931201,,,,,3.8014,-7.297098025541629,,
,,4.1265,-3.1352030348046758,,,,,3.9305,-6.4236610905943365,,,,,3.8015,-7.297150438895855,,
,,4.1266,-3.1352464837248704,,,,,3.9306,-6.423715057133464,,,,,3.8016,-7.297202715044378,,
,,4.1267,-3.1352898465412693,,,,,3.9307,-6.423768885548597,,,,,3.8017,-7.2972548539871696,,
,,4.126799999999999,-3.135333123253872,,,,,3.9308,-6.423822575839736,,,,,3.8018,-7.297306855724244,,
,,4.1269,-3.1353763138626647,,,,,3.9309,-6.4238761280068815,,,,,3.8019,-7.297358720255602,,
,,4.127,-3.135419418367676,,,,,3.931,-6.423929542050018,,,,,3.802,-7.297410447581242,,
,,4.1271,-3.13546243676889,,,,,3.9311,-6.423982817969161,,,,,3.8021,-7.297462037701166,,
,,4.1272,-3.135505369066294,,,,,3.9312,-6.42403595576431,,,,,3.8022,-7.297513490615387,,
,,4.1273,-3.1355482152599023,,,,,3.9313,-6.424088955435465,,,,,3.8023,-7.297564806323876,,
,,4.1274,-3.1355909753497144,,,,,3.9314,-6.424141816982612,,,,,3.8024,-7.297615984826649,,
,,4.1275,-3.135633649335716,,,,,3.9315,-6.424194540405779,,,,,3.8025,-7.297667026123719,,
,,4.1276,-3.135676237217922,,,,,3.9316,-6.424247125704937,,,,,3.8026,-7.297717930215057,,
,,4.1277,-3.1357187389963315,,,,,3.9317,-6.424299572880102,,,,,3.8027,-7.297768697100679,,
,,4.1278,-3.135761154670945,,,,,3.9318,-6.424351881931258,,,,,3.8028,-7.297819326780598,,
,,4.1279,-3.135803484241748,,,,,3.9319,-6.424404052858435,,,,,3.8029,-7.297869819254785,,
,,4.128,-3.1358457277087552,,,,,3.932,-6.424456085661603,,,,,3.803,-7.29792017452327,,
,,4.1281,-3.1358878850719663,,,,,3.9321,-6.424507980340778,,,,,3.8031,-7.297970392586023,,
,,4.1282,-3.135929956331381,,,,,3.9322,-6.424559736895958,,,,,3.8032,-7.29802047344306,,
,,4.128299999999999,-3.135971941487,,,,,3.9323,-6.42461135532713,,,,,3.8033,-7.298070417094394,,
,,4.1284,-3.1360138405388227,,,,,3.9324,-6.424662835634322,,,,,3.8034,-7.298120223539996,,
,,4.1285,-3.136055653486835,,,,,3.9325,-6.424714177817506,,,,,3.8035,-7.298169892779896,,
,,4.1286,-3.1360973803310515,,,,,3.9326,-6.424765381876696,,,,,3.8036,-7.298219424814079,,
,,4.128699999999999,-3.136139021071472,,,,,3.9327,-6.424816447811892,,,,,3.8037,-7.29826881964253,,
,,4.1288,-3.1361805757080816,,,,,3.9328,-6.42486737562308,,,,,3.8038,-7.298318077265279,,
,,4.1289,-3.1362220442409097,,,,,3.9329,-6.424918165310274,,,,,3.8039,-7.298367197682296,,
,,4.129,-3.1362634266699274,,,,,3.933,-6.4249688168734735,,,,,3.804,-7.298416180893611,,
,,4.129099999999999,-3.136304722995135,,,,,3.9331,-6.425019330312679,,,,,3.8041,-7.298465026899208,,
,,4.1292,-3.1363459332165604,,,,,3.9332,-6.425069705627877,,,,,3.8042,-7.298513735699075,,
,,4.1293,-3.136387057334176,,,,,3.9333,-6.425119942819094,,,,,3.8043,-7.298562307293238,,
,,4.1294,-3.136428095347995,,,,,3.9334,-6.425170041886304,,,,,3.8044,-7.298610741681685,,
,,4.1295,-3.136469047258018,,,,,3.9335,-6.425220002829533,,,,,3.8045,-7.298659038864415,,
,,4.1296,-3.136509913064245,,,,,3.9336,-6.425269825648741,,,,,3.8046,-7.298707198841413,,
,,4.1297,-3.136550692766676,,,,,3.9337,-6.425319510343954,,,,,3.8047,-7.298755221612708,,
,,4.1298,-3.1365913863652963,,,,,3.9338,-6.425369056915187,,,,,3.8048,-7.298803107178287,,
,,4.1299,-3.136631993860121,,,,,3.9339,-6.425418465362412,,,,,3.8049,-7.298850855538149,,
,,4.13,-3.136672515251149,,,,,3.934,-6.425467735685643,,,,,3.805,-7.298898466692307,,
,,4.1301,-3.136712950538381,,,,,3.9341,-6.425516867884866,,,,,3.8051,-7.298945940640735,,
,,4.130199999999999,-3.1367532997217893,,,,,3.9342,-6.425565861960124,,,,,3.8052,-7.298993277383431,,
,,4.1303,-3.136793562801415,,,,,3.9343,-6.425614717911344,,,,,3.8053,-7.299040476920425,,
,,4.1304,-3.136833739777245,,,,,3.9344,-6.425663435738585,,,,,3.8054,-7.299087539251701,,
,,4.1305,-3.1368738306492787,,,,,3.9345,-6.425712015441832,,,,,3.8055,-7.299134464377261,,
,,4.130599999999999,-3.1369138354175163,,,,,3.9346,-6.42576045702107,,,,,3.8056,-7.299181252297103,,
,,4.1307,-3.136953754081944,,,,,3.9347,-6.425808760476329,,,,,3.8057,-7.299227903011229,,
,,4.1308,-3.136993586642575,,,,,3.9348,-6.42585692580758,,,,,3.8058,-7.299274416519637,,
,,4.1309,-3.13703333309941,,,,,3.9349,-6.425904953014836,,,,,3.8059,-7.299320792822343,,
,,4.130999999999999,-3.137072993452435,,,,,3.935,-6.4259528420980985,,,,,3.806,-7.299367031919317,,
,,4.1311,-3.137112567701678,,,,,3.9351,-6.426000593057353,,,,,3.8061,-7.2994131338105745,,
,,4.1312,-3.1371520558471104,,,,,3.9352,-6.426048205892627,,,,,3.8062,-7.299459098496115,,
,,4.1313,-3.137191457888747,,,,,3.9353,-6.426095680603893,,,,,3.8063,-7.299504925975938,,
,,4.131399999999999,-3.137230773826573,,,,,3.9354,-6.4261430171911655,,,,,3.8064,-7.299550616250045,,
,,4.1315,-3.1372700036606034,,,,,3.9355,-6.426190215654444,,,,,3.8065,-7.299596169318434,,
,,4.1316,-3.137309147390852,,,,,3.9356,-6.426237275993714,,,,,3.8066,-7.299641585181121,,
,,4.1317,-3.1373482050172896,,,,,3.9357,-6.4262841982089896,,,,,3.8067,-7.299686863838076,,
,,4.131799999999999,-3.1373871765399173,,,,,3.9358,-6.426330982300271,,,,,3.8068,-7.299732005289314,,
,,4.1319,-3.137426061958763,,,,,3.9359,-6.426377628267559,,,,,3.8069,-7.29977700953485,,
,,4.132,-3.1374648612737985,,,,,3.936,-6.426424136110853,,,,,3.807,-7.299821876574654,,
,,4.132099999999999,-3.137503574485052,,,,,3.9361,-6.426470505830139,,,,,3.8071,-7.299866606408742,,
,,4.1322,-3.1375422015924954,,,,,3.9362,-6.42651673742543,,,,,3.8072,-7.299911199037126,,
,,4.1323,-3.1375807425961284,,,,,3.9363,-6.426562830896728,,,,,3.8073,-7.2999556544597795,,
,,4.1324,-3.1376191974959795,,,,,3.9364,-6.426608786244032,,,,,3.8074,-7.299999972676716,,
,,4.132499999999999,-3.137657566292006,,,,,3.9365,-6.426654603467341,,,,,3.8075,-7.300044153687949,,
,,4.1326,-3.137695848984251,,,,,3.9366,-6.426700282566642,,,,,3.8076,-7.3000881974934515,,
,,4.1327,-3.1377340455726994,,,,,3.9367,-6.42674582354195,,,,,3.8077,-7.300132104093251,,
,,4.1328,-3.1377721560573377,,,,,3.9368,-6.426791226393263,,,,,3.8078,-7.300175873487319,,
,,4.132899999999999,-3.137810180438194,,,,,3.9369,-6.426836491120582,,,,,3.8079,-7.300219505675685,,
,,4.133,-3.1378481187152403,,,,,3.937,-6.426881617723893,,,,,3.808,-7.300263000658319,,
,,4.1331,-3.1378859708884903,,,,,3.9371,-6.42692660620321,,,,,3.8081,-7.30030635843525,,
,,4.1332,-3.13792373695793,,,,,3.9372,-6.426971456558533,,,,,3.8082,-7.30034957900645,,
,,4.133299999999999,-3.137961416923588,,,,,3.9373,-6.427016168789862,,,,,3.8083,-7.300392662371948,,
,,4.1334,-3.1379990107854354,,,,,3.9374,-6.427060742897197,,,,,3.8084,-7.300435608531728,,
,,4.1335,-3.138036518543487,,,,,3.9375,-6.427105178880524,,,,,3.8085,-7.3004784174857775,,
,,4.1336,-3.138073940197742,,,,,3.9376,-6.427149476739871,,,,,3.8086,-7.300521089234124,,
,,4.133699999999999,-3.138111275748173,,,,,3.9377,-6.427193636475195,,,,,3.8087,-7.300563623776767,,
,,4.1338,-3.138148525194836,,,,,3.9378,-6.42723765808654,,,,,3.8088,-7.300606021113666,,
,,4.1339,-3.138185688537689,,,,,3.9379,-6.42728154157389,,,,,3.8089,-7.300648281244861,,
,,4.134,-3.138222765776746,,,,,3.938,-6.427325286937233,,,,,3.809,-7.300690404170339,,
,,4.134099999999999,-3.1382597569119923,,,,,3.9381,-6.427368894176581,,,,,3.8091,-7.300732389890101,,
,,4.1342,-3.138296661943457,,,,,3.9382,-6.427412363291936,,,,,3.8092,-7.300774238404145,,
,,4.1343,-3.138333480871111,,,,,3.9383,-6.427455694283296,,,,,3.8093,-7.300815949712458,,
,,4.134399999999999,-3.1383702136949694,,,,,3.9384,-6.427498887150648,,,,,3.8094,-7.300857523815068,,
,,4.134499999999999,-3.1384068604150315,,,,,3.9385,-6.427541941894006,,,,,3.8095,-7.300898960711962,,
,,4.1346,-3.1384434210312837,,,,,3.9386,-6.42758485851337,,,,,3.8096,-7.300940260403138,,
,,4.1347,-3.138479895543753,,,,,3.9387,-6.42762763700874,,,,,3.8097,-7.300981422888597,,
,,4.134799999999999,-3.1385162839523986,,,,,3.9388,-6.427670277380116,,,,,3.8098,-7.3010224481683395,,
,,4.1349,-3.138552586257262,,,,,3.9389,-6.427712779627484,,,,,3.8099,-7.301063336242365,,
,,4.135,-3.1385888024583157,,,,,3.939,-6.427755143750858,,,,,3.81,-7.301104087110673,,
,,4.1351,-3.1386249325555866,,,,,3.9391,-6.4277973697502375,,,,,3.8101,-7.301144700773264,,
,,4.135199999999999,-3.138660976549048,,,,,3.9392,-6.427839457625623,,,,,3.8102,-7.301185177230138,,
,,4.1353,-3.138696934438713,,,,,3.9393,-6.427881407377015,,,,,3.8103,-7.301225516481296,,
